Circunscripcion;poverty_income;poverty_multi;vulnerability
La Pintana;0.14142132;0.3273877;Average
La Reina;0.00985902;0.06936215;Not vulnerable
Lo Barnechea;0.02842101;0.17182714;Not vulnerable
Lo Prado;0.05778872;0.24484662;Not vulnerable
Macul;0.07454475;0.13472951;Not vulnerable
Maipu;0.02569542;0.13220459;Not vulnerable
Peñalolen;0.04369371;0.26276122;Not vulnerable
Providencia;0.00431632;0.03383548;Not vulnerable
Pudahuel;0.08245532;0.22505142;Not vulnerable
Quilicura;0.05682917;0.17923171;Not vulnerable
Quinta Normal;0.0372703;0.23482269;Not vulnerable
Recoleta Norte;0.06894474;0.22503532;Not vulnerable
Renca;0.03729648;0.24522084;Not vulnerable
San Joaquin;0.05238959;0.21101154;Not vulnerable
San Miguel;0.04846963;0.17245069;Not vulnerable
San Ramon;0.04602968;0.27939963;Not vulnerable
Vitacura;0.00134706;0.03482807;Not vulnerable
Puente Alto;0.07293881;0.23313428;Not vulnerable
Pirque;0.04745061;0.2032582;Not vulnerable
San Jose de Maipo;0.05990317;0.23993066;Not vulnerable
Colina;0.06395853;0.25462612;Not vulnerable
Lampa;0.03607469;0.25755729;Not vulnerable
Tiltil;0.0679488;0.23666077;Not vulnerable
San Bernardo;0.09424567;0.26069268;Not vulnerable
Buin;0.08040875;0.24929632;Not vulnerable
Calera de Tango;0.03529564;0.22060073;Not vulnerable
Paine;0.04239802;0.22330431;Not vulnerable
Melipilla;0.05167612;0.24922144;Not vulnerable
Alhue;0.06712937;0.20279452;Not vulnerable
Curacavi;0.07438832;0.22553595;Not vulnerable
Maria Pinto;0.10800503;0.33142473;Average
San Pedro;0.09271245;0.31838821;Not vulnerable
Talagante;0.0370787;0.21327123;Not vulnerable
El Monte;0.08728387;0.33670084;Not vulnerable
Isla de Maipo;0.08332956;0.27242941;Not vulnerable
Padre Hurtado;0.08775394;0.21615951;Not vulnerable
Peñaflor;0.04890097;0.13461507;Not vulnerable
Valdivia;0.07639297;0.14069017;Not vulnerable
Corral;0.23147843;0.35039539;Vulnerable
Lanco;0.19184744;0.25794384;Average
Los Lagos;0.15490136;0.29529092;Average
Mafil;0.12555116;0.29800181;Average
Mariquina;0.15628272;0.24051953;Average
Paillaco;0.19127224;0.25253485;Average
Panguipulli;0.14695453;0.3258433;Average
La Union;0.1334944;0.24474091;Average
Futrono;0.14073058;0.32934762;Average
Lago Ranco;0.14616602;0.37721825;Average
Rio Bueno;0.16441624;0.30065041;Average
Arica;0.08343243;0.21117414;Not vulnerable
Camarones;0.08799863;0.58687589;Not vulnerable
Putre;0.14501979;0.5032156;Average
General Lagos;0.20996549;0.6719668;Vulnerable
Chillan;0.11666087;0.17715121;Average
Bulnes;0.14880693;0.28693441;Average
Chillan Viejo;0.19102634;0.2404726;Average
El Carmen;0.28766531;0.34075869;Vulnerable
Pemuco;0.23840729;0.28481367;Vulnerable
Pinto;0.25063218;0.37132874;Vulnerable
Quillon;0.16656863;0.30657764;Average
San Ignacio;0.24871311;0.32797332;Vulnerable
Yungay;0.19379242;0.1988546;Average
Quirihue;0.18259972;0.35300313;Average
Cobquecura;0.34175233;0.47244792;Vulnerable
Coelemu;0.18277766;0.30724551;Average
Ninhue;0.25342266;0.34760358;Vulnerable
Portezuelo;0.18694311;0.35473162;Average
Treguaco;0.2058784;0.23650528;Vulnerable
San Carlos;0.13799042;0.27495298;Average
Coihueco;0.22031088;0.27251788;Vulnerable
Ñiquen;0.19943576;0.30764155;Average
San Fabian;0.13765151;0.32431595;Average
San Nicolas;0.14310729;0.34965596;Average
